sub_basin_number,sub_basin_name,acres,sq_miles,priority,phase
1-040,Ten Mile River Valley,1491.3,2.3,Very Low,1
1-041,Little Valley,812.5,1.3,Very Low,1
1-042,Sherwood Valley,1150.7,1.8,Very Low,1
1-043,Williams Valley,1643.4,2.6,Very Low,1
1-044,Eden Valley,1377.5,2.2,Very Low,1
1-045,Big River Valley,1685.9,2.6,Very Low,1
1-046,Navarro River Valley,768.5,1.2,Very Low,1
1-048,Gravelly Valley,2976.3,4.7,Very Low,1
1-049,Annapolis Ohlson Ranch Fm Highlands,8653,13.5,Very Low,1
1-050,Knights Valley,4089.5,6.4,Very Low,1
1-051,Potter Valley,8243,12.9,Very Low,1
1-052,Ukiah Valley,37537.4,58.7,Medium,1
1-053,Sanel Valley,5572.4,8.7,Very Low,1
1-054.01,Alexander Area,24484.4,38.3,Very Low,1
1-054.02,Cloverdale Area,6530.1,10.2,Very Low,1
1-055.01,Santa Rosa Plain,81284.31,127.01,Medium,2
1-055.02,Healdsburg Area,15412.7,24.1,Very Low,1
1-055.03,Rincon Valley,5553.2,8.7,Very Low,1
1-056,Mcdowell Valley,1487.6,2.3,Very Low,1
1-057,Bodega Bay Area,2668.7,4.2,Very Low,1
1-059,Wilson Grove Formation Highlands,63836.66,99.74,Very Low,2
1-060,Lower Russian River Valley,6645,10.4,Very Low,1
1-061,Fort Ross Terrace Deposits,8360.9,13.1,Very Low,1
1-062,Wilson Point Area,710,1.1,Very Low,1
2-001,Petaluma Valley,46661.32,72.91,Medium,2
2-002.01,Napa Valley,45928.2,71.8,High,1
2-002.02,Sonoma Valley,44846.18,70.07,High,2
2-002.03,Napa-Sonoma Lowlands,40297.45,62.96,Very Low,2
2-003,Suisun-Fairfield Valley,133586.2,208.7,Low,1
2-004,Pittsburg Plain,11613.3,18.1,Very Low,1
2-005,Clayton Valley,17846.6,27.9,Very Low,1
2-006,Ygnacio Valley,15469,24.2,Very Low,1
2-007,San Ramon Valley,7057.4,11,Very Low,1
2-008,Castro Valley,1821.7,2.8,Very Low,1
2-009.01,Niles Cone,65214.5,101.9,Medium,1
2-009.02,Santa Clara,189581,296.2,High,1
2-009.03,San Mateo Plain,37865,59.2,Very Low,1
2-009.04,East Bay Plain,71315.1,111.4,Medium,1
2-010,Livermore Valley,69567.1,108.7,Medium,1
2-011,Sunol Valley,16632,26,Very Low,1
2-019,Kenwood Valley,5139,8,Very Low,1
2-022,Half Moon Bay Terrace,9155.9,14.3,Very Low,1
2-024,San Gregorio Valley,1074.9,1.7,Very Low,1
2-026,Pescadero Valley,2912.4,4.6,Very Low,1
2-027,Sand Point Area,22342.21,34.91,Very Low,2
2-028,Ross Valley,1764.7,2.8,Very Low,1
2-029,San Rafael Valley,874.8,1.4,Very Low,1
2-030,Novato Valley,20535.1,32.1,Low,1
2-031,Arroyo Del Hambre Valley,786.3,1.2,Very Low,1
2-032,Visitacion Valley,5831.1,9.1,Very Low,1
2-033,Islais Valley,5941.3,9.3,Very Low,1
2-035,Westside,25392.4,39.7,Very Low,1
2-036,San Pedro Valley,710.4,1.1,Very Low,1
2-037,South San Francisco,2176.5,3.4,Very Low,1
2-038,Lobos,2360.8,3.7,Very Low,1
2-039,Marina,2187.7,3.4,Very Low,1
2-040,Downtown,7640.1,11.9,Very Low,1
3-001,Santa Cruz Mid-County,36289.7,56.7,High,1
3-002.01,Pajaro Valley,75055.1,117.3,High,1
3-002.02,Purisima Highlands,12932,20.2,Very Low,1
3-003.01,Llagas Area,47370.9,74,High,1
3-003.05,North San Benito,131030.03,204.73,Medium,2
3-004.01,180/400 Foot Aquifer,89706.3,140.2,High,1
3-004.02,East Side Aquifer,57474.3,89.8,High,1
3-004.04,Forebay Aquifer,94052.2,147,Medium,1
3-004.05,Upper Valley Aquifer,238020.54,371.91,Medium,2
3-004.06,Paso Robles Area,436157.09,681.5,High,2
3-004.08,Seaside Area,14488.7,22.6,Very Low,1
3-004.09,Langley Area,17618.5,27.5,High,1
3-004.10,Corral De Tierra Area,30854.9,48.2,Medium,1
3-004.11,Atascadero Area,19734.9,30.8,Very Low,1
3-005,Cholame Valley,39824.6,62.2,Very Low,1
3-006,Lockwood Valley,59941,93.7,Very Low,1
3-007,Carmel Valley,4321.7,6.8,Medium,1
3-008.01,Los Osos,4232.03,6.61,Very Low,2
3-008.02,Warden Creek,1762.94,2.75,Very Low,2
3-009,San Luis Obispo Valley,12720.6,19.9,High,1
3-012.01,Santa Maria,170212.68,265.96,Very Low,2
3-012.02,Arroyo Grande,2901.22,4.53,Very Low,2
3-013,Cuyama Valley,241729.9,377.7,High,1
3-014,San Antonio Creek Valley,67437.4,105.4,Medium,1
3-015,Santa Ynez River Valley,203050.6,317.3,Medium,1
3-016,Goleta,9217.1,14.4,Very Low,1
3-017,Santa Barbara,6183.1,9.7,Very Low,1
3-018,Carpinteria,7977.71,12.47,High,2
3-019,Carrizo Plain,210627.5,329.1,Very Low,1
3-020,Ano Nuevo Area,1995.2,3.1,Very Low,1
3-022,Santa Ana Valley,2724.3,4.3,Very Low,1
3-023,Upper Santa Ana Valley,1430.9,2.2,Very Low,1
3-024,Quien Sabe Valley,4707,7.4,Very Low,1
3-026,West Santa Cruz Terrace,7306.4,11.4,Very Low,1
3-027,Santa Margarita,22249,34.8,Medium,1
3-028,San Benito River Valley,24227,37.9,Very Low,1
3-029,Dry Lake Valley,1416.3,2.2,Very Low,1
3-030,Bitter Water Valley,32224.8,50.4,Very Low,1
3-031,Hernandez Valley,2864.5,4.5,Very Low,1
3-032,Peach Tree Valley,9790,15.3,Very Low,1
3-033,San Carpoforo Valley,1042.6,1.6,Very Low,1
3-034,Arroyo De La Cruz Valley,1015.9,1.6,Very Low,1
3-035,San Simeon Valley,547,0.9,Very Low,1
3-036,Santa Rosa Valley,3507.5,5.5,Very Low,1
3-037,Villa Valley,1355.9,2.1,Very Low,1
3-038,Cayucos Valley,333.5,0.5,Very Low,1
3-039,Old Valley,1178.4,1.8,Very Low,1
3-040,Toro Valley,720,1.1,Very Low,1
3-041,Morro Valley,644.1,1,Very Low,1
3-042,Chorro Valley,1549.6,2.4,Very Low,1
3-043,Rinconada Valley,2577.8,4,Very Low,1
3-044,Pozo Valley,6848.6,10.7,Very Low,1
3-045,Huasna Valley,4703,7.3,Very Low,1
3-046,Rafael Valley,2993.2,4.7,Very Low,1
3-047,Big Spring Area,7324.1,11.4,Very Low,1
3-049,Montecito,6144.71,9.6,Medium,2
3-051,Majors Creek,478.7,0.7,Very Low,1
3-052,Needle Rock Point,839.9,1.3,Very Low,1
3-053,Foothill,3282.3,5.1,Very Low,1
4-001,Upper Ojai Valley,3806.3,5.9,Very Low,1
4-002,Ojai Valley,5913.4,9.2,High,1
4-003.01,Upper Ventura River,5278.1,8.2,Medium,1
4-003.02,Lower Ventura River,5262.1,8.2,Very Low,1
4-004.02,Oxnard,57887.91,90.45,High,2
4-004.03,Mound,13865.83,21.67,High,2
4-004.04,Santa Paula,22112,34.55,Very Low,2
4-004.05,Fillmore,22585.84,35.29,High,2
4-004.06,Piru,10896.87,17.03,High,2
4-004.07,Santa Clara River Valley East,67687.6,105.8,High,1
4-005,Acton Valley,8268.4,12.9,Very Low,1
4-006,Pleasant Valley,19840,31,High,1
4-007,Arroyo Santa Rosa Valley,3924.27,6.13,Very Low,2
4-008,Las Posas Valley,44622,69.7,High,1
4-009,Simi Valley,12155.2,19,Very Low,1
4-010,Conejo,18796,29.4,Very Low,1
4-011.01,Santa Monica,31779.2,49.7,Medium,1
4-011.02,Hollywood,10070.2,15.7,Very Low,1
4-011.03,West Coast,92996.7,145.3,Very Low,1
4-011.04,Central,177770.3,277.8,Very Low,1
4-012,San Fernando Valley,144837.1,226.3,Very Low,1
4-013,San Gabriel Valley,126379,197.5,Very Low,1
4-015,Tierra Rejada,4597.8,7.2,Very Low,1
4-016,Hidden Valley,2210.7,3.5,Very Low,1
4-017,Lockwood Valley,21789.5,34,Very Low,1
4-018,Hungry Valley,5309.2,8.3,Very Low,1
4-019,Thousand Oaks Area,3106,4.9,Very Low,1
4-020,Russell Valley,3078.3,4.8,Very Low,1
4-022,Malibu Valley,610.8,1,Very Low,1
4-023,Raymond,26048.8,40.7,Very Low,1
5-001.01,Goose Valley,35954.4,56.2,Very Low,1
5-001.02,Fandango Valley,18443,28.8,Very Low,1
5-002.01,South Fork Pitt River,114136.7,178.3,Low,1
5-002.02,Warm Springs Valley,68007.9,106.3,Very Low,1
5-003,Jess Valley,6705.4,10.5,Very Low,1
5-004,Big Valley,92067.1,143.9,Medium,1
5-005,Fall River Valley,54824.6,85.7,Low,1
5-006.01,Bowman,122533.8,191.46,Very Low,2
5-006.03,Anderson,98704.6,154.2,Medium,1
5-006.04,Enterprise,61288.3,95.8,Medium,1
5-006.05,Millville,65616.02,102.53,Very Low,2
5-006.06,South Battle Creek,33716.35,52.68,Very Low,2
5-007,Lake Almanor Valley,7154.1,11.2,Very Low,1
5-008,Mountain Meadows Valley,8145.9,12.7,Very Low,1
5-009,Indian Valley,29413.2,46,Very Low,1
5-010,American Valley,6799.3,10.6,Very Low,1
5-011,Mohawk Valley,18983.1,29.7,Very Low,1
5-012.01,Sierra Valley,117292.42,183.27,Medium,2
5-012.02,Chilcoot,7545.7,11.8,Very Low,1
5-013,Upper Lake Valley,7265.9,11.4,Very Low,1
5-014,Scotts Valley,7326.1,11.4,Very Low,1
5-015,Big Valley,24231.3,37.9,Medium,1
5-016,High Valley,2357.9,3.7,Very Low,1
5-017,Burns Valley,2875.1,4.5,Very Low,1
5-018,Coyote Valley,6533.2,10.2,Very Low,1
5-019,Collayomi Valley,6501.6,10.2,Very Low,1
5-020,Berryessa Valley,1376.1,2.2,Very Low,1
5-021.50,Red Bluff,271793.9,424.7,Medium,1
5-021.51,Corning,207342.76,323.97,High,2
5-021.52,Colusa,723823.74,1130.97,High,2
5-021.53,Bend,22676.4,35.4,Very Low,1
5-021.54,Antelope,19090.8,29.8,High,1
5-021.56,Los Molinos,99422.4,155.35,Medium,2
5-021.57,Vina,184917.61,288.93,High,2
5-021.60,North Yuba,60838.08,95.06,Medium,2
5-021.61,South Yuba,109020.31,170.34,High,2
5-021.62,Sutter,285809.87,446.58,Medium,2
5-021.64,North American,342241.43,534.75,High,2
5-021.65,South American,248403.37,388.13,High,2
5-021.66,Solano,354672.9,554.18,High,2
5-021.67,Yolo,540693.5,844.83,High,2
5-021.69,Wyandotte Creek,59382.18,92.78,Medium,2
5-021.70,Butte,265500,414.84,Medium,2
5-022.01,Eastern San Joaquin,764802.78,1195,High,2
5-022.02,Modesto,245252.7,383.2,High,1
5-022.03,Turlock,348187.1,544,High,1
5-022.04,Merced,512959.1,801.5,High,1
5-022.05,Chowchilla,145574.3,227.46,High,2
5-022.06,Madera,347667.39,543.23,High,2
5-022.07,Delta-Mendota,764964.86,1195.26,High,2
5-022.08,Kings,981324.82,1533.32,High,2
5-022.09,Westside,621823.2,971.6,High,1
5-022.10,Pleasant Valley,48195.6,75.3,Medium,1
5-022.11,Kaweah,441003.9,689.1,High,1
5-022.12,Tulare Lake,535869.1,837.3,High,1
5-022.13,Tule,477646.4,746.3,High,1
5-022.14,Kern County,NA,2784.88,High,2
5-022.15,Tracy,238428.97,372.55,Medium,2
5-022.16,Cosumnes,210275.92,328.56,Medium,2
5-022.17,Kettleman Plain,63754.6,99.6,Low,1
5-022.18,White Wolf,107546.3,168,Medium,1
5-022.19,East Contra Costa,107596.4,168.12,Medium,2
5-023,Panoche Valley,33086.6,51.7,Very Low,1
5-025,Kern River Valley,79388.9,124,Very Low,1
5-026,Walker Basin Creek Valley,7667.6,12,Very Low,1
5-027,Cummings Valley,10019.3,15.7,Very Low,1
5-028,Tehachapi Valley West,14803.1,23.1,Very Low,1
5-029,Castac Lake Valley,3563.6,5.6,Very Low,1
5-030,Lower Lake Valley,2405.8,3.8,Very Low,1
5-031,Long Valley,2801.5,4.4,Very Low,1
5-035,Mccloud Area,21334.5,33.3,Very Low,1
5-036,Round Valley,7266.3,11.4,Very Low,1
5-037,Toad Well Area,3357.5,5.2,Very Low,1
5-038,Pondosa Town Area,2082.9,3.3,Very Low,1
5-040,Hot Springs Valley,2405.1,3.8,Very Low,1
5-041,Egg Lake Valley,4102.3,6.4,Very Low,1
5-043,Rock Prairie Valley,5739.1,9,Very Low,1
5-044,Long Valley,1087,1.7,Very Low,1
5-045,Cayton Valley,1306.7,2,Very Low,1
5-046,Lake Britton Area,14061.2,22,Very Low,1
5-047,Goose Valley,4210.4,6.6,Very Low,1
5-048,Burney Creek Valley,2352.9,3.7,Very Low,1
5-049,Dry Burney Creek Valley,3076,4.8,Very Low,1
5-050,North Fork Battle Creek,12761.9,19.9,Very Low,1
5-051,Butte Creek Valley,3227.6,5,Very Low,1
5-052,Grays Valley,5440.8,8.5,Very Low,1
5-053,Dixie Valley,4867,7.6,Very Low,1
5-054,Ash Valley,6007.1,9.4,Very Low,1
5-056,Yellow Creek Valley,2311.7,3.6,Very Low,1
5-057,Last Chance Creek Valley,4657.1,7.3,Very Low,1
5-058,Clover Valley,16778,26.2,Very Low,1
5-059,Grizzly Valley,13438,21,Very Low,1
5-060,Humbug Valley,9976.2,15.6,Very Low,1
5-061,Chrome Town Area,1409.2,2.2,Very Low,1
5-062,Elk Creek Area,1439.4,2.2,Very Low,1
5-063,Stonyford Town Area,6441.6,10.1,Very Low,1
5-064,Bear Valley,9110.8,14.2,Very Low,1
5-065,Little Indian Valley,1269.5,2,Very Low,1
5-066,Clear Lake Cache Formation,29740.4,46.5,Very Low,1
5-068,Pope Valley,7182.5,11.2,Very Low,1
5-069,Yosemite Valley,7454.9,11.6,Very Low,1
5-070,Los Banos Creek Valley,4835.4,7.6,Very Low,1
5-071,Vallecitos Creek Valley,15107.4,23.6,Very Low,1
5-080,Brite Valley,3170.2,5,Very Low,1
5-082,Cuddy Canyon Valley,3299.3,5.2,Very Low,1
5-083,Cuddy Ranch Area,4202.6,6.6,Very Low,1
5-084,Cuddy Valley,3465.3,5.4,Very Low,1
5-085,Mil Potrero Area,2308.9,3.6,Very Low,1
5-086,Joseph Creek,4456.4,7,Very Low,1
5-087,Middle Fork Feather River,4341.3,6.8,Very Low,1
5-088,Stony Gorge Reservoir,1065.6,1.7,Very Low,1
5-089,Squaw Flat,1294.4,2,Very Low,1
5-090,Funks Creek,3014.1,4.7,Very Low,1
5-091,Antelope Creek,2040.9,3.2,Very Low,1
5-092,Blanchard Valley,2222.9,3.5,Very Low,1
5-094,Middle Creek,705.2,1.1,Very Low,1
5-095,Meadow Valley,5734.9,9,Very Low,1
6-001,Surprise Valley,228661.5,357.3,Very Low,1
6-002,Madeline Plains,156097.3,243.9,Very Low,1
6-003,Willow Creek Valley,11695.9,18.3,Very Low,1
6-004,Honey Lake Valley,311716,487.1,Low,1
6-005.01,Tahoe South,14800.3,23.1,Medium,1
6-005.02,Tahoe West,6168.4,9.6,Very Low,1
6-005.03,Tahoe North,1929.7,3,Very Low,1
6-006,Carson Valley,10721.5,16.8,Very Low,1
6-007,Antelope Valley,20078.1,31.4,Very Low,1
6-008,Bridgeport Valley,32485.6,50.8,Very Low,1
6-009,Mono Valley,172843.2,270.1,Very Low,1
6-010,Adobe Lake Valley,39866.2,62.3,Very Low,1
6-011,Long Valley,71843.8,112.3,Very Low,1
6-012.01,Owens Valley,660648.16,1032.26,Low,2
6-012.02,Fish Slough,3221.6,5,Very Low,1
6-013,Black Springs Valley,30766.9,48.1,Very Low,1
6-014,Fish Lake Valley,48003.9,75,Low,1
6-015,Deep Springs Valley,29930.4,46.8,Very Low,1
6-016,Eureka Valley,128759.7,201.2,Very Low,1
6-017,Saline Valley,146182.8,228.4,Very Low,1
6-018,Death Valley,920379.9,1438.1,Very Low,1
6-019,Wingate Valley,71285.4,111.4,Very Low,1
6-020,Middle Amargosa Valley,389763.4,609,Very Low,1
6-021,Lower Kingston Valley,239740.3,374.6,Very Low,1
6-022,Upper Kingston Valley,176749.2,276.2,Very Low,1
6-023,Riggs Valley,87515.1,136.7,Very Low,1
6-024,Red Pass Valley,96315.4,150.5,Very Low,1
6-025,Bicycle Valley,89458.5,139.8,Very Low,1
6-026,Avawatz Valley,27612.1,43.1,Very Low,1
6-027,Leach Valley,61175.5,95.6,Very Low,1
6-028,Pahrump Valley,92926.7,145.2,Very Low,1
6-029,Mesquite Valley,88157.1,137.7,Very Low,1
6-030,Ivanpah Valley,198129.1,309.6,Very Low,1
6-031,Kelso Valley,254686.6,397.9,Very Low,1
6-032,Broadwell Valley,91878.2,143.6,Very Low,1
6-033,Soda Lake Valley,380056.3,593.8,Very Low,1
6-034,Silver Lake Valley,35202.1,55,Very Low,1
6-035,Cronise Valley,126299.9,197.3,Very Low,1
6-036.01,Langford Well Lake,19312.1,30.2,Very Low,1
6-036.02,Irwin,10480.3,16.4,Very Low,1
6-037,Coyote Lake Valley,88101.8,137.7,Very Low,1
6-038,Caves Canyon Valley,72962.3,114,Very Low,1
6-040,Lower Mojave River Valley,285485.5,446.1,Very Low,1
6-041,Middle Mojave River Valley,211320.7,330.2,Very Low,1
6-042,Upper Mojave River Valley,412841,645.1,Very Low,1
6-043,El Mirage Valley,75896.1,118.6,Very Low,1
6-044,Antelope Valley,NA,1578.5,Very Low,1
6-045,Tehachapi Valley East,23967.3,37.4,Very Low,1
6-046,Fremont Valley,335234.1,523.8,Low,1
6-047,Harper Valley,409501.8,639.8,Very Low,1
6-048,Goldstone Valley,28090.5,43.9,Very Low,1
6-049,Superior Valley,120319.7,188,Very Low,1
6-050,Cuddeback Valley,94901.9,148.3,Very Low,1
6-051,Pilot Knob Valley,138605.1,216.6,Very Low,1
6-052,Searles Valley,197011.4,307.8,Very Low,1
6-053,Salt Wells Valley,29473.9,46.1,Very Low,1
6-054,Indian Wells Valley,381708.6,596.4,High,1
6-055,Coso Valley,25561.6,39.9,Very Low,1
6-056,Rose Valley,42524.8,66.4,Very Low,1
6-057,Darwin Valley,44160.9,69,Very Low,1
6-058,Panamint Valley,259290.7,405.1,Very Low,1
6-061,Cameo Area,9303.4,14.5,Very Low,1
6-062,Race Track Valley,14113.3,22.1,Very Low,1
6-063,Hidden Valley,17943.3,28,Very Low,1
6-064,Marble Canyon Area,10363.5,16.2,Very Low,1
6-065,Cottonwood Spring Area,3896.7,6.1,Very Low,1
6-066,Lee Flat,20282.8,31.7,Very Low,1
6-067,Martis Valley,36357,56.8,Very Low,1
6-068,Santa Rosa Flat,16779.9,26.2,Very Low,1
6-069,Kelso Lander Valley,11164.7,17.4,Very Low,1
6-070,Cactus Flat,7025.1,11,Very Low,1
6-071,Lost Lake Valley,23253.6,36.3,Very Low,1
6-072,Coles Flat,2946,4.6,Very Low,1
6-073,Wild Horse Mesa Area,3320.5,5.2,Very Low,1
6-074,Harrisburg Flats,24928.3,39,Very Low,1
6-075,Wildrose Canyon,5151.3,8,Very Low,1
6-076,Brown Mountain Valley,21726.6,33.9,Very Low,1
6-077,Grass Valley,9974.8,15.6,Very Low,1
6-078,Denning Spring Valley,7231.6,11.3,Very Low,1
6-079,California Valley,58111.7,90.8,Very Low,1
6-080,Middle Park Canyon,1741.4,2.7,Very Low,1
6-081,Butte Valley,8797.6,13.7,Very Low,1
6-082,Spring Canyon Valley,4800.4,7.5,Very Low,1
6-084,Greenwater Valley,59813.8,93.5,Very Low,1
6-085,Gold Valley,3210.7,5,Very Low,1
6-086,Rhodes Hill Area,15578.5,24.3,Very Low,1
6-088,Owl Lake Valley,22242.3,34.8,Very Low,1
6-089,Kane Wash Area,5954.1,9.3,Very Low,1
6-090,Cady Fault Area,7949.2,12.4,Very Low,1
6-091,Cow Head Lake Valley,5617.4,8.8,Very Low,1
6-092,Pine Creek Valley,9526.9,14.9,Very Low,1
6-093,Harvey Valley,4503.2,7,Very Low,1
6-094,Grasshopper Valley,17663.8,27.6,Very Low,1
6-095,Dry Valley,6497.5,10.2,Very Low,1
6-096,Eagle Lake Area,12699.5,19.8,Very Low,1
6-097,Horse Lake Valley,3826.3,6,Very Low,1
6-098,Tuledad Canyon Valley,5149.9,8,Very Low,1
6-099,Painters Flat,6374.2,10,Very Low,1
6-100,Secret Valley,33663.7,52.6,Very Low,1
6-101,Bull Flat,18117.1,28.3,Very Low,1
6-104,Long Valley,46846.2,73.2,Very Low,1
6-105,Slinkard Valley,4511.2,7,Very Low,1
6-106,Little Antelope Valley,2487.7,3.9,Very Low,1
6-107,Sweetwater Flat,4719.8,7.4,Very Low,1
6-108,Olympic Valley,702,1.1,Very Low,1
7-001,Lanfair Valley,156540.3,244.6,Very Low,1
7-002,Fenner Valley,452482.5,707,Very Low,1
7-003,Ward Valley,557586.4,871.2,Very Low,1
7-004,Rice Valley,188094.1,293.9,Very Low,1
7-005,Chuckwalla Valley,601573.1,940,Very Low,1
7-006,Pinto Valley,182439.4,285.1,Very Low,1
7-007,Cadiz Valley,269847.9,421.6,Very Low,1
7-008,Bristol Valley,496816.2,776.3,Very Low,1
7-009,Dale Valley,212533.3,332.1,Very Low,1
7-010,Twentynine Palms Valley,62260,97.3,Very Low,1
7-011,Copper Mountain Valley,30279.7,47.3,Very Low,1
7-012,Warren Valley,17475.73,27.31,Very Low,2
7-013.01,Deadman Lake,89012.4,139.1,Very Low,1
7-013.02,Surprise Spring,29253.2,45.7,Very Low,1
7-014,Lavic Valley,102278.3,159.8,Very Low,1
7-015,Bessemer Valley,39067.7,61,Very Low,1
7-016,Ames Valley,108438.1,169.4,Very Low,1
7-017,Means Valley,14941.5,23.3,Very Low,1
7-018.01,Soggy Lake,77277.4,120.7,Very Low,1
7-018.02,Upper Johnson Valley,34782.1,54.3,Very Low,1
7-019,Lucerne Valley,147431.5,230.4,Very Low,1
7-020,Morongo Valley,7228.1,11.3,Very Low,1
7-021.01,Indio,297156.4,464.3,Medium,1
7-021.02,Mission Creek,48571.7,75.9,Medium,1
7-021.03,Desert Hot Springs,100947.6,157.7,Very Low,1
7-021.04,San Gorgonio Pass,38545.1,60.2,Medium,1
7-022,West Salton Sea,105382.3,164.7,Very Low,1
7-024.01,Borrego Springs,62749.2,98,High,1
7-024.02,Ocotillo Wells,90086.8,140.8,Very Low,1
7-025,Ocotillo-Clark Valley,222280.2,347.3,Very Low,1
7-026,Terwilliger Valley,8017.4,12.5,Very Low,1
7-027,San Felipe Valley,23376.4,36.5,Very Low,1
7-028,Vallecito-Carrizo Valley,121816,190.3,Very Low,1
7-029,Coyote Wells Valley,145659.9,227.6,Very Low,1
7-030,Imperial Valley,957774.4,1496.5,Very Low,1
7-031,Orocopia Valley,96223.5,150.3,Very Low,1
7-032,Chocolate Valley,129107.2,201.7,Very Low,1
7-033,East Salton Sea,194844.2,304.4,Very Low,1
7-034,Amos Valley,129920.8,203,Very Low,1
7-035,Ogilby Valley,133170.1,208.1,Very Low,1
7-036,Yuma Valley,123880.6,193.6,Very Low,1
7-037,Arroyo Seco Valley,256477.9,400.7,Very Low,1
7-038,Palo Verde Valley,72934.1,114,Very Low,1
7-039,Palo Verde Mesa,224910.8,351.4,Very Low,1
7-040,Quien Sabe Point Valley,25173.3,39.3,Very Low,1
7-041,Calzona Valley,80545.6,125.9,Very Low,1
7-042,Vidal Valley,137660.1,215.1,Very Low,1
7-043,Chemehuevi Valley,272014.5,425,Very Low,1
7-044,Needles Valley,88053.9,137.6,Very Low,1
7-045,Piute Valley,175192.4,273.7,Very Low,1
7-046,Canebrake Valley,5411.5,8.5,Very Low,1
7-047,Jacumba Valley,2475.7,3.9,Very Low,1
7-048,Helendale Fault Valley,2617.2,4.1,Very Low,1
7-049,Pipes Canyon Fault Valley,3382,5.3,Very Low,1
7-050,Iron Ridge Area,5243,8.2,Very Low,1
7-051,Lost Horse Valley,17299.6,27,Very Low,1
7-052,Pleasant Valley,9642.6,15.1,Very Low,1
7-053,Hexie Mountain Area,11131.9,17.4,Very Low,1
7-054,Buck Ridge Fault Valley,6914.5,10.8,Very Low,1
7-055,Collins Valley,7062.2,11,Very Low,1
7-056,Yaqui Well Area,14966.6,23.4,Very Low,1
7-059,Mason Valley,5520.5,8.6,Very Low,1
7-061,Davies Valley,3570.9,5.6,Very Low,1
7-062,Joshua Tree,33448.78,52.26,Very Low,2
7-063,Vandeventer Flat,6732,10.5,Very Low,1
8-001,Coastal Plain Of Orange County,224226.3,350.4,Medium,1
8-002.01,Chino,153762.3,240.3,Very Low,1
8-002.02,Cucamonga,9028,14.1,Very Low,1
8-002.03,Riverside-Arlington,56563.1,88.4,Very Low,1
8-002.04,Rialto-Colton,24794.1,38.7,Very Low,1
8-002.05,Cajon,23134.6,36.1,Very Low,1
8-002.06,San Bernardino,92488.2,144.5,Very Low,1
8-002.07,Yucaipa,22218.8,34.7,High,1
8-002.08,San Timoteo,32287.65,50.45,Very Low,2
8-002.09,Temescal,22963.6,35.9,Medium,1
8-004.01,Elsinore Valley,23601.2,36.9,Medium,1
8-004.02,Bedford-Coldwater,7025.7,11,Very Low,1
8-005,San Jacinto,158534.44,247.71,High,2
8-006,Hemet Lake Valley,16679.9,26.1,Very Low,1
8-007,Big Meadows Valley,14162.1,22.1,Very Low,1
8-008,Seven Oaks Valley,4075.2,6.4,Very Low,1
8-009,Bear Valley,19170.1,30,Very Low,1
9-001,San Juan Valley,16712.4,26.1,Very Low,1
9-002,San Mateo Valley,2993.5,4.7,Very Low,1
9-003,San Onofre Valley,1238.1,1.9,Very Low,1
9-004,Santa Margarita Valley,5214.7,8.1,Very Low,1
